Plate,Well ID,Well,Sample,Detector,Task,Ct,Ct std err,Avg Ct,Avg dCt,dCt std err,ddCt,RQ,RQ min,RQ max,Omit,Filtered,Threshold,Auto Ct,Baseline,Start,End
p150KO_p150_dcat,1,A1,IFNb_1,SyB G,p150_8.1,26.113,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,2,A2,IFNb_1,SyB G,p150_8.2,25.212,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,3,A3,IFNb_1,SyB G,p150_11.1,22.132,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,4,A4,IFNb_1,SyB G,p150_11.2,22.08,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,5,A5,IFNb_1,SyB G,cat_9.1,26.605,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,6,A6,IFNb_1,SyB G,cat_9.2,26.502,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,7,A7,IFNb_1,SyB G,cat_11.1,22.537,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,8,A8,IFNb_1,SyB G,cat_11.2,22.074,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,9,A9,IFNb_1,SyB G,KO_1,21.197,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,10,A10,IFNb_1,SyB G,KO_2,20.852,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,11,A11,IFNb_1,SyB G,Lenti_1,29.1,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,12,A12,IFNb_1,SyB G,Lenti_2,28.208,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,13,B1,IFNb_2,SyB G,p150_8.1,25.834,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,14,B2,IFNb_2,SyB G,p150_8.2,25.051,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,15,B3,IFNb_2,SyB G,p150_11.1,22.365,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,16,B4,IFNb_2,SyB G,p150_11.2,22.115,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,17,B5,IFNb_2,SyB G,cat_9.1,26.552,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,18,B6,IFNb_2,SyB G,cat_9.2,26.79,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,19,B7,IFNb_2,SyB G,cat_11.1,22.917,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,20,B8,IFNb_2,SyB G,cat_11.2,22.919,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,21,B9,IFNb_2,SyB G,KO_1,15.154,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,22,B10,IFNb_2,SyB G,KO_2,21.372,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,23,B11,IFNb_2,SyB G,Lenti_1,29.129,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
p150KO_p150_dcat,24,B12,IFNb_2,SyB G,Lenti_2,29.26,0.684,24.253,,,,,,,,,0.2,Manual,Manual,3,15
